rank_week_filename,url_link
WR 2012-01-05 (Week 1).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-01-05 (Week 1).xlsx
WR 2012-01-12 (Week 2).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-01-12 (Week 2).xlsx
WR 2012-01-19 (Week 3).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-01-19 (Week 3).xlsx
WR 2012-01-26 (Week 4).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-01-26 (Week 4).xlsx
WR 2012-02-02 (Week 5).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-02-02 (Week 5).xlsx
WR 2012-02-09 (Week 6).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-02-09 (Week 6).xlsx
WR 2012-02-16 (Week 7).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-02-16 (Week 7).xlsx
WR 2012-02-23 (Week 8).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-02-23 (Week 8).xlsx
WR 2012-03-01 (Week 9).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-03-01 (Week 9).xlsx
WR 2012-03-08 (Week 10).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-03-08 (Week 10).xlsx
WR 2012-03-15 (Week 11).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-03-15 (Week 11).xlsx
WR 2012-03-22 (Week 12).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-03-22 (Week 12).xlsx
WR 2012-03-29 (Week 13).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-03-29 (Week 13).xlsx
WR 2012-04-05 (Week 14).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-04-05 (Week 14).xlsx
WR 2012-04-12 (Week 15).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-04-12 (Week 15).xlsx
WR 2012-04-19 (Week 16).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-04-19 (Week 16).xlsx
WR 2012-04-26 (Week 17).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-04-26 (Week 17).xlsx
WR 2012-05-03 (Week 18).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-05-03 (Week 18).xlsx
WR 2012-05-10 (Week 19).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-05-10 (Week 19).xlsx
WR 2012-05-17 (Week 20).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-05-17 (Week 20).xlsx
WR 2012-05-24 (Week 21).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-05-24 (Week 21).xlsx
WR 2012-05-31 (Week 22).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-05-31 (Week 22).xlsx
WR 2012-06-07 (Week 23).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-06-07 (Week 23).xlsx
WR 2012-06-14 (Week 24).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-06-14 (Week 24).xlsx
WR 2012-06-21 (Week 25).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-06-21 (Week 25).xlsx
WR 2012-06-28 (Week 26).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-06-28 (Week 26).xls
WR 2012-07-05 (Week 27).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-07-05 (Week 27).xlsx
WR 2012-07-12 (Week 28).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-07-12 (Week 28).xlsx
WR 2012-07-19 (Week 29).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-07-19 (Week 29).xlsx
WR 2012-07-26 (Week 30).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-07-26 (Week 30).xlsx
WR 2012-08-02 (Week 31).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-08-02 (Week 31).xlsx
WR 2012-08-09 (Week 32).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-08-09 (Week 32).xlsx
WR 2012-08-16 (Week 33).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-08-16 (Week 33).xlsx
WR 2012-08-23 (Week 34).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-08-23 (Week 34).xlsx
WR 2012-08-30 (Week 35).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-08-30 (Week 35).xlsx
WR 2012-09-06 (Week 36).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-09-06 (Week 36).xlsx
WR 2012-09-13 (Week 37).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-09-13 (Week 37).xlsx
WR 2012-09-20 (Week 38).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-09-20 (Week 38).xlsx
WR 2012-09-27 (Week 39).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-09-27 (Week 39).xlsx
WR 2012-10-04 (Week 40).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-10-04 (Week 40).xlsx
WR 2012-10-11 (Week 41).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-10-11 (Week 41).xlsx
WR 2012-10-18 (Week 42).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-10-18 (Week 42).xlsx
WR 2012-10-25 (Week 43).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-10-25 (Week 43).xlsx
WR 2012-11-01 (Week 44).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-11-01 (Week 44).xlsx
WR 2012-11-08 (Week 45).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-11-08 (Week 45).xlsx
WR 2012-11-16 (Week 46).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-11-16 (Week 46).xlsx
WR 2012-11-22 (Week 47).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-11-22 (Week 47).xlsx
WR 2012-11-29 (Week 48).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-11-29 (Week 48).xlsx
WR 2012-12-06 (Week 49).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-12-06 (Week 49).xlsx
WR 2012-12-13 (Week 50).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-12-13 (Week 50).xlsx
WR 2012-12-20 (Week 51).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-12-20 (Week 51).xlsx
WR 2012-12-27 (Week 52).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/627/WR 2012-12-27 (Week 52).xlsx
WR 2013-01-03 (Week 1).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-01-03 (Week 1).xlsx
WR 2013-01-10 (Week 2).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-01-10 (Week 2).xlsx
WR 2013-01-17 (Week 3).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-01-17 (Week 3).xlsx
WR 2013-01-25 (Week-4).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-01-25 (Week-4).xlsx
WR 2013-01-31 (Week 5).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-01-31 (Week 5).xlsx
WR 2013-02-07 (Week 6).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-02-07 (Week 6).xlsx
WR 2013-02-14 (Week 7).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-02-14 (Week 7).xlsx
WR 2013-02-21 (Week 8).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-02-21 (Week 8).xlsx
WR 2013-02-28 (Week 9).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-02-28 (Week 9).xlsx
WR 2013-03-07 (Week-10).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-03-07 (Week-10).xlsx
WR 2013-03-14 (Week 11).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-03-14 (Week 11).xlsx
WR 2013-03-21 (Week 12).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-03-21 (Week 12).xlsx
WR 2013-03-28 (Week 13).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-03-28 (Week 13).xlsx
WR 2013-04-04 (Week 14).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-04-04 (Week 14).xlsx
WR 2013-04-11 (Week 15).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-04-11 (Week 15).xlsx
